--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.000  000.000: --- NVIM STARTING ---
000.107  000.106: event init
000.423  000.316: early init
001.302  000.880: locale set
001.323  000.021: init first window
001.778  000.456: inits 1
001.792  000.013: window checked
001.794  000.002: parsing arguments
002.278  000.023  000.023: require('vim.shared')
002.330  000.019  000.019: require('vim.inspect')
002.354  000.019  000.019: require('vim._options')
002.356  000.076  000.037: require('vim._editor')
002.357  000.121  000.021: require('vim._init_packages')
002.358  000.444: init lua interpreter
003.894  001.536: expanding arguments
003.904  000.011: inits 2
004.077  000.172: init highlight
004.094  000.017: clear screen
004.173  000.006  000.006: require('vim.keymap')
004.846  000.154  000.154: sourcing nvim_exec2()
004.987  000.891  000.730: require('vim._defaults')
004.988  000.003: init default mappings & autocommands
005.673  000.168  000.168: sourcing /opt/homebrew/Cellar/neovim/0.11.5/share/nvim/runtime/ftplugin.vim
005.919  000.135  000.135: sourcing /opt/homebrew/Cellar/neovim/0.11.5/share/nvim/runtime/indent.vim
007.412  001.242  001.242: sourcing /Users/mustaphaf/.local/share/nvim/site/autoload/plug.vim
015.745  000.136  000.136: sourcing /Users/mustaphaf/.config/nvim/ftdetect/astro.vim
016.053  000.115  000.115: sourcing /Users/mustaphaf/.config/nvim/plugged/kotlin-vim/ftdetect/kotlin.vim
016.383  000.140  000.140: sourcing /Users/mustaphaf/.config/nvim/plugged/zig.vim/ftdetect/zig.vim
016.718  000.138  000.138: sourcing /Users/mustaphaf/.config/nvim/plugged/vim-elixir/ftdetect/elixir.vim
017.034  000.121  000.121: sourcing /Users/mustaphaf/.config/nvim/plugged/vim-astro/ftdetect/astro.vim
017.353  000.139  000.139: sourcing /Users/mustaphaf/.config/nvim/plugged/vim-stylus/ftdetect/stylus.vim
017.708  000.109  000.109: sourcing /Users/mustaphaf/.config/nvim/plugged/vim-fugitive/ftdetect/fugitive.vim
018.037  000.112  000.112: sourcing /Users/mustaphaf/.config/nvim/plugged/yats.vim/ftdetect/typescript.vim
